电影戏剧4gtv,#genre#
戏剧电影sport,#genre#
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
番薯音乐[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
人间卫视[720p],https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
美亚C+[1080p],http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
中视[1080p],http://37.27.111.214:8080/live/7/hls.m3u8
凤凰卫视[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
番薯音乐[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
民视第一[1080p],http://37.27.111.214:8080/live/4/hls.m3u8
民视[1080p],http://37.27.111.214:8080/live/6/hls.m3u8
天良[1080p],http://60.248.91.20:8000/main
凤凰资讯[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/playlist.m3u8
TVB无线新闻[576p],http://iptv.4666888.xyz/iptv2A.php?id=65
TVB明珠[1080p],http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
TVB生活[576p],http://iptv.4666888.xyz/iptv2A.php?id=67
TVBS亚洲[1080p],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
民视新闻[1080p],https://stream1.freetv.fun/min-shi-xin-wen-3.m3u8
TVB星河粤[576p],http://iptv.4666888.xyz/iptv2A.php?id=68
TVB1[576p],http://iptv.4666888.xyz/iptv2A.php?id=70
TVB星河国[576p],http://iptv.4666888.xyz/iptv2A.php?id=69
TVBE[576p],http://iptv.4666888.xyz/iptv2A.php?id=75
TVB翡翠剧集[576p],http://iptv.4666888.xyz/iptv2A.php?id=72
TVB新闻娱乐[576p],http://iptv.4666888.xyz/iptv2A.php?id=74
TVB黄金华剧[576p],http://iptv.4666888.xyz/iptv2A.php?id=80
民视新闻[1080p],https://stream1.freetv.fun/min-shi-xin-wen-9.m3u8
香港卫视[720p],http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
民视新闻[1080p],https://stream1.freetv.fun/min-shi-xin-wen-22.m3u8
中视经典[720p],https://stream1.freetv.fun/zhong-shi-jing-dian-2.m3u8
无线星河[720p],https://cdn6.101.qzz.io/163189/tvbxh
番薯111[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
东森亚洲卫视[1080p],https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
台视新闻[1080p],https://stream1.freetv.fun/tai-shi-xin-wen-20.m3u8
凤凰香港[576p],http://iptv.4666888.xyz/iptv2A.php?id=62
中视经典[720p],https://stream1.freetv.fun/zhong-shi-jing-dian-11.m3u8
中视经典[720p],https://stream1.freetv.fun/zhong-shi-jing-dian-13.m3u8
亚洲卫视[1080p],https://fenghuang.tv12.xyz/173.m3u8
中视经典[720p],https://stream1.freetv.fun/zhong-shi-jing-dian-8.m3u8
TVBJ1[576p],http://iptv.4666888.xyz/iptv2A.php?id=71
华视新闻[1080p],https://stream1.freetv.fun/hua-shi-xin-wen-7.m3u8
中视新闻[1080p],https://stream1.freetv.fun/zhong-shi-xin-wen-10.m3u8
台视新闻[1080p],https://stream1.freetv.fun/tai-shi-xin-wen-1.m3u8
